Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
2/4/2022 2:00,3641.42,-1680.75
2/4/2022 3:00,3393.67,-1872.67
2/4/2022 4:00,3202.25,-1812.33
2/4/2022 5:00,2966.25,-1850.5
2/4/2022 6:00,3058.67,-1958.83
2/4/2022 7:00,3198.67,-1645.17
2/4/2022 8:00,3450.17,-1785.83
2/4/2022 9:00,3922.75,-2156.67
2/4/2022 10:00,4161.67,-2221.08
2/4/2022 11:00,4089.92,-2218
2/4/2022 12:00,3871.83,-2152.58
2/4/2022 13:00,3335.5,-2319.92
2/4/2022 14:00,3336.92,-2152.92
2/4/2022 15:00,3377.67,-2143.25
2/4/2022 16:00,3504.25,-2303.75
2/4/2022 17:00,4101.25,-2488.25
2/4/2022 18:00,4000.58,-2328.75
2/4/2022 19:00,4292.83,-2017.5
2/4/2022 20:00,4328.75,-2188.67
2/4/2022 21:00,4296.67,-2204.33
2/4/2022 22:00,3629.75,-2182.67
2/4/2022 23:00,3186.83,-1983.33
2/5/2022 0:00,2981,-1832.83
2/5/2022 1:00,2591.75,-1947
2/5/2022 2:00,3086.33,-2126.58
2/5/2022 3:00,2859,-2001.33
2/5/2022 4:00,2397.08,-2065.92
2/5/2022 5:00,2156,-2113
2/5/2022 6:00,2207.42,-2219.58
2/5/2022 7:00,2163.83,-2229.08
2/5/2022 8:00,2260.83,-2325.17
2/5/2022 9:00,2603.33,-2436.5
2/5/2022 10:00,2689.83,-2310.58
2/5/2022 11:00,2517.25,-2351.67
2/5/2022 12:00,2690.83,-2285.83
2/5/2022 13:00,3287.83,-2225.42
2/5/2022 14:00,3244.33,-2061.17
2/5/2022 15:00,3089,-2089.58
2/5/2022 16:00,2990.58,-2129.75
2/5/2022 17:00,2833.42,-2084.83
2/5/2022 18:00,2661.33,-2046.42
2/5/2022 19:00,2469.5,-1811.75
2/5/2022 20:00,2045.75,-2026.92
2/5/2022 21:00,2002.58,-2028.83
2/5/2022 22:00,1959.25,-1962.08
2/5/2022 23:00,2099.42,-1681.17
2/6/2022 0:00,2159.5,-1717.75
2/6/2022 1:00,1720.5,-1728.17
2/6/2022 2:00,1659,-1852.58
2/6/2022 3:00,1525.75,-1698.92
2/6/2022 4:00,1379.33,-1527.17
2/6/2022 5:00,1266.25,-1742.67
2/6/2022 6:00,1028.25,-1932.92
2/6/2022 7:00,1120.25,-1879.17
2/6/2022 8:00,877.25,-2013.67
2/6/2022 9:00,1145.42,-2160
2/6/2022 10:00,1144.75,-2162.08
2/6/2022 11:00,1330.25,-2333.33
2/6/2022 12:00,1233.58,-2318.33
2/6/2022 13:00,1295.17,-2375.17
2/6/2022 14:00,1742.08,-2273.92
2/6/2022 15:00,2062.25,-2172.5
2/6/2022 16:00,1684.67,-2118.58
2/6/2022 17:00,2029.83,-2073.67
2/6/2022 18:00,2078.17,-2014
2/6/2022 19:00,2686.33,-1826.67
2/6/2022 20:00,2527.58,-1859.42
2/6/2022 21:00,2029.08,-1877.58
2/6/2022 22:00,1496,-2077
2/6/2022 23:00,1767.83,-2057.75
2/7/2022 0:00,1809.25,-1864.92
2/7/2022 1:00,2381,-1828.17
2/7/2022 2:00,2499.5,-1929.17
2/7/2022 3:00,2483.17,-1241.08
2/7/2022 4:00,2652,-1278
2/7/2022 5:00,1815.5,-1370.25
2/7/2022 6:00,1483.5,-1486.83
2/7/2022 7:00,1492.08,-1267.67
2/7/2022 8:00,1425.08,-1355.17
2/7/2022 9:00,1951.42,-1445.5
2/7/2022 10:00,1986.75,-1398.92
2/7/2022 11:00,1955.17,-1340.92
2/7/2022 12:00,1480.42,-1313
2/7/2022 13:00,1132.5,-1514.83
2/7/2022 14:00,728.17,-1617.17
2/7/2022 15:00,1149.67,-1542.92
2/7/2022 16:00,887.25,-1829.25
2/7/2022 17:00,968.58,-1737.42
2/7/2022 18:00,1521.17,-1981.17
2/7/2022 19:00,1398.33,-2032.17
2/7/2022 20:00,1440.08,-2058.83
2/7/2022 21:00,1370.25,-1972.75
2/7/2022 22:00,1472.33,-2059.58
2/7/2022 23:00,1766.25,-1858.5
2/8/2022 0:00,1245.92,-1497.33
2/8/2022 1:00,1485.92,-1429
2/8/2022 2:00,1506.33,-1735.58
2/8/2022 3:00,1697.33,-1783.92
2/8/2022 4:00,1879.25,-1724.58
2/8/2022 5:00,1665.67,-1684.25
2/8/2022 6:00,1165.42,-1807.17
2/8/2022 7:00,1457.83,-1995.67
2/8/2022 8:00,1365.5,-2248.67
2/8/2022 9:00,1242.42,-2351.17
2/8/2022 10:00,1372.33,-2406.42
2/8/2022 11:00,1187.33,-2392.42
2/8/2022 12:00,1407.33,-2399.83
2/8/2022 13:00,1358.83,-2308.25
2/8/2022 14:00,1531.75,-2208
2/8/2022 15:00,1731.08,-2104.33
2/8/2022 16:00,1687.92,-2174.58
2/8/2022 17:00,1910,-1958.08
2/8/2022 18:00,1771.75,-1839.67
2/8/2022 19:00,1704.92,-1786.25
2/8/2022 20:00,1318.92,-1926.17
2/8/2022 21:00,949.5,-2150.75
2/8/2022 22:00,1254.58,-1944.58
2/8/2022 23:00,1588.83,-1793.42
2/9/2022 0:00,2134.67,-2097.17
2/9/2022 1:00,2356.5,-1930.92
2/9/2022 2:00,2243.08,-1877.67
2/9/2022 3:00,2021.5,-1824.83
2/9/2022 4:00,1718.58,-1541.83
2/9/2022 5:00,1493.33,-1782.58
2/9/2022 6:00,1682.25,-1667.75
2/9/2022 7:00,1580.92,-1606.75
2/9/2022 8:00,1510,-2156.83
2/9/2022 9:00,1526.33,-2447.08
2/9/2022 10:00,1667.58,-2348.25
2/9/2022 11:00,2226.92,-2340
2/9/2022 12:00,2378.75,-2153.5
2/9/2022 13:00,2278.83,-2298.42
2/9/2022 14:00,2191.83,-2415
2/9/2022 15:00,2416.33,-2312.33
2/9/2022 16:00,2669.92,-2173.75
2/9/2022 17:00,3057.67,-2151.25
2/9/2022 18:00,3555.25,-2130.08
2/9/2022 19:00,3361.33,-2164.83
2/9/2022 20:00,3266,-2094.75
2/9/2022 21:00,3158.92,-2121.92
2/9/2022 22:00,3423.58,-1971
2/9/2022 23:00,3407.58,-1895.58
2/10/2022 0:00,3139.5,-1912.5
2/10/2022 1:00,3494.22,-1766
2/10/2022 2:00,3752.78,-1932.83
2/10/2022 3:00,3759.75,-1945.67
2/10/2022 4:00,3483.42,-1924.92
2/10/2022 5:00,3045,-1976.25
2/10/2022 6:00,2406.25,-2241.83
2/10/2022 7:00,2143.08,-2226.5
2/10/2022 8:00,2673.08,-2375.17
2/10/2022 9:00,3591.25,-2286.67
2/10/2022 10:00,4276.5,-2042.92
2/10/2022 11:00,4454.67,-2154.92
2/10/2022 12:00,4058.42,-2136
2/10/2022 13:00,3858.17,-2148.08
