Year,Month,Philly_Temp,M3,Dominion_South,TranscoZ6_nonNY,ChiCityGate,TranscoZ5_nonWGL,HenryHub,TranscoZ6_NY
2015,6,68.47743056,1.152699947,1.095000029,2.407399893,2.460700035,2.624300003,2.556999922,1.368100047
2015,6,73.92881944,1.300036616,1.255490789,2.560067979,2.544557804,2.699637531,2.605431249,2.066466715
2015,6,77.28819444,1.527623939,1.474848757,2.811957953,2.707476525,2.853478289,2.729437936,2.874136147
2015,6,76.08333333,1.606054642,1.509232781,2.959380752,2.82142831,2.965184339,2.861404208,2.996938521
2015,6,81.58854167,1.662398939,1.576033828,2.960616199,2.843146946,2.969052984,2.894382276,2.979771722
2015,6,85.06076389,1.623537847,1.549759919,2.827845366,2.758398191,2.903126039,2.817933484,2.834134906
2015,6,82.27951389,1.525900006,1.431300044,2.742500067,2.686700106,2.866699934,2.764899969,2.722899914
2015,6,79.81770833,1.525900006,1.431300044,2.742500067,2.686700106,2.866699934,2.764899969,2.722899914
2015,6,81.55729167,1.623360439,1.506787017,2.870802985,2.753616943,2.937901839,2.814776205,2.863609701
2015,6,81.91666667,1.796638228,1.618675044,3.011260732,2.842525107,3.018120284,2.900227232,3.018304693
2015,6,75.80555556,1.780270682,1.634421009,2.936151239,2.875610292,3.041149694,2.934205138,2.968469307
2015,6,68.89409722,1.58989047,1.516389738,2.806448655,2.852221542,3.010108896,2.895928119,2.823932815
2015,6,78.46701389,1.44924724,1.383022569,2.720798742,2.780128791,2.918359738,2.8339869,2.746983312
2015,6,77.77256944,1.406700015,1.347599983,2.67779994,2.742899895,2.872200012,2.808900118,2.75180006
2015,6,81.94791667,1.406700015,1.347599983,2.67779994,2.742899895,2.872200012,2.808900118,2.75180006
2015,6,83.00694444,1.552392377,1.435394096,2.852042809,2.73707025,2.933735538,2.792008961,2.877063599
2015,6,81.609375,1.598998823,1.45658423,2.977050729,2.768420351,2.96824556,2.802404524,2.945401474
2015,6,77.18923611,1.432603603,1.328909034,2.875800795,2.777648539,2.903180328,2.798360203,2.715996628
2015,6,75.07118056,1.300953572,1.2022807,2.633915797,2.767386726,2.866247434,2.77820918,2.446438539
2015,6,74.20486111,1.257919808,1.155381063,2.301936299,2.757597969,2.839645331,2.778838899,1.908533279
2015,6,67.50694444,1.281100035,1.175300002,2.16140008,2.729300022,2.812099934,2.76760006,1.465399981
2015,6,72.24652778,1.281100035,1.175300002,2.16140008,2.729300022,2.812099934,2.76760006,1.465399981
2015,6,72.70486111,1.269191512,1.176396186,2.356619835,2.771502908,2.848224061,2.784042764,1.701128659
2015,6,75.97395833,1.227403808,1.122292357,2.566653107,2.797457636,2.852561645,2.787346171,1.912739806
2015,7,78.01909722,1.171241115,1.061019781,2.616274309,2.785134947,2.824435607,2.793531908,1.565220513
2015,7,72.57118056,0.954513339,0.886338711,2.615977576,2.774302982,2.832884998,2.799647227,1.056145487
2015,7,74.99652778,0.762799978,0.716199994,2.579099894,2.759000063,2.837199926,2.786000013,0.869599998
2015,7,72.43923611,0.762799978,0.716199994,2.579099894,2.759000063,2.837199926,2.786000013,0.869599998
2015,7,76.24652778,0.762799978,0.716199994,2.579099894,2.759000063,2.837199926,2.786000013,0.869599998
2015,7,78.82638889,1.092451364,0.99288593,2.60461108,2.740713773,2.822600807,2.763627994,1.497263078
2015,7,82.45486111,1.398689566,1.221324807,2.601400696,2.709793633,2.808248735,2.735868325,2.355711141
2015,7,81.64756944,1.281069595,1.114944586,2.572150513,2.70791267,2.808450504,2.719339268,2.428291484
2015,7,78.91666667,1.20509289,1.057753285,2.583858656,2.695879461,2.795295371,2.696490099,2.112056622
2015,7,78.71180556,1.260115831,1.091479168,2.623553253,2.707479511,2.812594131,2.716390322,1.909146507
2015,7,80.06423611,1.298900008,1.126399994,2.651499987,2.742300034,2.843199968,2.748100042,1.866799951
2015,7,79.60243056,1.298900008,1.126399994,2.651499987,2.742300034,2.843199968,2.748100042,1.866799951
2015,7,78.92013889,1.352114572,1.181358533,2.768890956,2.818933025,2.907774992,2.813571853,2.338606032
2015,7,78.84895833,1.351140107,1.196390473,2.825215672,2.92664364,2.996118716,2.91353134,2.380110765
2015,7,73.93055556,1.301581289,1.150867185,2.752386724,2.932287574,3.00295799,2.933151027,1.766317403
2015,7,72.89756944,1.304907342,1.168122585,2.678072057,2.905704601,2.967016899,2.90968035,1.51629952
2015,7,75.34201389,1.334340111,1.220744609,2.689984816,2.904998007,2.932851791,2.872498884,1.97843861
2015,7,80.44791667,1.366099954,1.251199961,2.766599894,2.905600071,2.917900085,2.843899965,2.516400099
2015,7,85.890625,1.366099954,1.251199961,2.766599894,2.905600071,2.917900085,2.843899965,2.516400099
2015,7,87.04513889,1.391212463,1.264453782,2.862964202,2.880088884,2.933246546,2.84006335,2.745701057
2015,7,83.34722222,1.395871869,1.271970319,2.828707516,2.892616746,2.959113672,2.858771356,2.478485547
2015,7,77.93576389,1.314212163,1.22648803,2.693909017,2.932744257,2.967108705,2.887229982,1.773458874
2015,7,76.79513889,1.265506094,1.202644057,2.688609319,2.932257488,2.969134268,2.902965275,1.533572056
2015,7,77.54166667,1.283182664,1.194684014,2.653313572,2.893726723,2.929155228,2.86446911,1.580712818
2015,7,79.80729167,1.288200021,1.170400023,2.620500088,2.85710001,2.884299994,2.815599918,1.663699985
2015,7,80.43576389,1.288200021,1.170400023,2.620500088,2.85710001,2.884299994,2.815599918,1.663699985
2015,7,78.33333333,1.489398984,1.342799307,2.782086973,2.867713069,2.912152993,2.82192791,2.310496395
2015,7,82.97395833,1.668780942,1.517545999,2.953619268,2.900821882,2.960678749,2.851818037,2.976797776
2015,7,84.35243056,1.581622259,1.4454054,2.975953196,2.933664201,2.987677883,2.888255498,3.000818886
2015,7,80.84027778,1.508530942,1.349776075,2.910874024,2.91534977,2.957926073,2.874343164,2.932469399
2015,7,81.66666667,1.47025231,1.324312144,2.709027475,2.852468573,2.875809131,2.807239869,2.522257911
2015,8,82.125,1.440700054,1.320799947,2.585500002,2.818200111,2.829799891,2.766799927,2.187599897
2015,8,80.875,1.440700054,1.320799947,2.585500002,2.818200111,2.829799891,2.766799927,2.187599897
2015,8,82.30729167,1.455498453,1.336794258,2.628500124,2.81461261,2.836376996,2.759027027,2.355415224
2015,8,83.50347222,1.47244284,1.349262692,2.669258746,2.846675783,2.876881919,2.785081944,2.251799848
2015,8,81.85590278,1.424773209,1.305190814,2.654641919,2.912296535,2.920168046,2.83728699,1.855325003
